instruction,image_similarity,label
brighten the photo,0.3496714153011233,0
increase contrast,0.3261735698828815,0
add more saturation,0.44476885381006925,0
make colors warmer,0.5723029856408025,0
sharpen the image,0.43658466252766637,0
add vignette effect,0.4765863043050819,0
boost highlights,0.6979212815507392,1
deepen shadows,0.656743472915291,1
adjust white balance,0.5730525614065047,0
increase exposure,0.7142560043585964,1
add color grading,0.6536582307187537,1
enhance details,0.6934270246429743,1
make it more vibrant,0.8041962271566034,1
adjust brightness,0.6286719755342203,0
improve contrast,0.6875082167486968,1
brighten the photo,0.24377124707590273,0
increase contrast,0.2387168879665576,0
add more saturation,0.4114247332595274,0
make colors warmer,0.3291975924478789,0
sharpen the image,0.3187696298664708,0
add vignette effect,0.6465648768921555,0
boost highlights,0.5174223699513465,0
deepen shadows,0.5867528204687924,0
adjust white balance,0.4775251813786543,0
increase exposure,0.6055617275474816,0
add color grading,0.7110922589709866,1
enhance details,0.6249006422577696,0
make it more vibrant,0.8175698018345672,1
adjust brightness,0.7599361310081195,1
improve contrast,0.8308306250206724,1
brighten the photo,0.2398293387770603,0
increase contrast,0.5252278184508937,0
add more saturation,0.3786502775262066,0
make colors warmer,0.31422890710441,0
sharpen the image,0.5422544912103189,0
add vignette effect,0.37791563500289777,0
boost highlights,0.5608863595004756,0
deepen shadows,0.38403298761202254,0
adjust white balance,0.4871813951101569,0
increase exposure,0.6796861235869123,1
add color grading,0.773846657999541,1
enhance details,0.7571368281189971,1
make it more vibrant,0.7684351717611759,1
adjust brightness,0.7898896304410712,1
improve contrast,0.7121478009632574,1
brighten the photo,0.2280155791605291,0
increase contrast,0.2939361229040212,0
add more saturation,0.48571222262189157,0
make colors warmer,0.4543618289568461,0
sharpen the image,0.28369598446372657,0
add vignette effect,0.5324083969394795,0
boost highlights,0.5014917719583684,0
deepen shadows,0.5123077999694042,0
adjust white balance,0.6811676288840868,1
increase exposure,0.763099952249595,1
add color grading,0.7931280119116199,1
enhance details,0.6560782476777361,1
make it more vibrant,0.7490787624148786,1
adjust brightness,0.8531263431403564,1
improve contrast,0.957554512712236,1
brighten the photo,0.252082576215471,0
increase contrast,0.32143410233361824,0
add more saturation,0.2693665025993972,0
make colors warmer,0.3003793375919329,0
sharpen the image,0.5412525822394197,0
add vignette effect,0.6356240028570823,0
boost highlights,0.5327989878419667,0
deepen shadows,0.6803532897892025,1
adjust white balance,0.6561636025047635,1
increase exposure,0.5954880245394875,0
add color grading,0.7361395605508414,1
enhance details,0.8938036566465969,1
make it more vibrant,0.7764173960890048,1
adjust brightness,0.9764643655814007,1
improve contrast,0.5980254895910256,0
brighten the photo,0.38219025043752236,0
increase contrast,0.3487047068238171,0
add more saturation,0.3500992649534132,0
make colors warmer,0.4291760776535502,0
sharpen the image,0.2612431085399107,0
add vignette effect,0.4780328112162488,0
boost highlights,0.5757112571511747,0
deepen shadows,0.7277894044741517,1
adjust white balance,0.5681729781726352,0
increase exposure,0.5791506397106811,0
add color grading,0.6498242956415463,0
enhance details,0.8315402117702074,1
make it more vibrant,0.8128751109659684,1
adjust brightness,0.7670239796232962,1
improve contrast,0.9113267433113357,1
brighten the photo,0.309707754934804,0
increase contrast,0.4368644990532889,0
add more saturation,0.3097946906122648,0
make colors warmer,0.3872337853402232,0
sharpen the image,0.42078918468678417,0
add vignette effect,0.35364850518678814,0
boost highlights,0.5696120277064577,0
deepen shadows,0.606105527217989,0
adjust white balance,0.620511345664246,0
increase exposure,0.6365412866624852,0
add color grading,0.5584629257949585,0
enhance details,0.697935467723464,1
make it more vibrant,0.745728548347323,1
adjust brightness,0.7397722730778382,1
improve contrast,0.8438714288333992,1
brighten the photo,0.34040508568145383,0
increase contrast,0.528618590121053,0
add more saturation,0.3974577812831839,0
make colors warmer,0.44575503907227637,0
sharpen the image,0.45255540842338327,0
add vignette effect,0.30812287847009584,0
boost highlights,0.5373486124550784,0
deepen shadows,0.5860230209941028,0
adjust white balance,0.8663242112485287,1
increase exposure,0.6407639035218877,0
add color grading,0.7301547342333612,1
enhance details,0.7365288230294756,1
make it more vibrant,0.6631321962380468,1
adjust brightness,0.9342822814515022,1
improve contrast,0.9351933032686776,1
brighten the photo,0.3791031947043047,0
increase contrast,0.24906125452052608,0
add more saturation,0.52027943109361,0
make colors warmer,0.2798148937207719,0
sharpen the image,0.518685709380027,0
add vignette effect,0.7190455625809978,1
boost highlights,0.44094636748693117,0
deepen shadows,0.5233702270397229,0
adjust white balance,0.6299651365087641,0
increase exposure,0.60965243458838,0
add color grading,0.5449336568933867,0
enhance details,0.7468562974806027,1
make it more vibrant,0.6737696286273895,1
adjust brightness,0.8673592430635182,1
improve contrast,0.7680575765766198,1
brighten the photo,0.454993440501754,0
increase contrast,0.26167467076637624,0
add more saturation,0.34779384837943245,0
make colors warmer,0.501351721736967,0
sharpen the image,0.33691356835660446,0
add vignette effect,0.522745993460413,0
boost highlights,0.6707142754282429,1
deepen shadows,0.4192516765438773,0
adjust white balance,0.6384633858532304,0
increase exposure,0.6859882794248423,1
add color grading,0.778182287177731,1
enhance details,0.6163049289121918,0
make it more vibrant,0.6479543386915724,0
adjust brightness,0.8721941565616899,1
improve contrast,0.8896984673233187,1
brighten the photo,0.32504928503458763,0
increase contrast,0.37464482094969753,0
add more saturation,0.3119975278421509,0
make colors warmer,0.4432253697161003,0
sharpen the image,0.4893072473298681,0
add vignette effect,0.42856485819736323,0
boost highlights,0.7265774511144757,1
deepen shadows,0.6273832920911788,0
adjust white balance,0.5008696502797352,0
increase exposure,0.7256553608633829,1
add color grading,0.6025318329772678,0
enhance details,0.8187084603742452,1
make it more vibrant,0.8958595579007405,1
adjust brightness,0.737931768164829,1
improve contrast,0.9563376129244323,1
brighten the photo,0.34127809269364984,0
increase contrast,0.42220601599944896,0
add more saturation,0.5696792982653948,0
make colors warmer,0.39546118839971295,0
sharpen the image,0.384626383564251,0
add vignette effect,0.4110485570374477,0
boost highlights,0.45841897150345623,0
deepen shadows,0.5722898290585896,0
adjust white balance,0.6541151974816644,1
increase exposure,0.6876690799330019,1
add color grading,0.7827183249036024,1
enhance details,0.7413001891877907,1
make it more vibrant,0.9253534077157317,1
adjust brightness,0.7935343166762044,1
improve contrast,1.0,1
brighten the photo,0.3625667347765006,0
increase contrast,0.2542842443583717,0
add more saturation,0.2729107501938888,0
make colors warmer,0.4682472415243185,0
sharpen the image,0.4376537214674149,0
add vignette effect,0.5714000494092092,0
boost highlights,0.5873237624573545,0
deepen shadows,0.5727171087343128,0
adjust white balance,0.5353206281931595,0
increase exposure,0.5085152775314135,0
add color grading,0.6553485047932979,1
enhance details,0.8256398794323472,1
make it more vibrant,0.8014093744130204,1
adjust brightness,0.6954261221288013,1
improve contrast,0.8773180925851183,1
brighten the photo,0.33853173797288366,0
increase contrast,0.25161425637988666,0
add more saturation,0.3953725105945528,0
make colors warmer,0.4258208718446,0
sharpen the image,0.34570297021693763,0
add vignette effect,0.5357787360348283,0
boost highlights,0.5960784526368235,0
deepen shadows,0.6883051243175278,1
adjust white balance,0.7253802052034903,1
increase exposure,0.5222330632042909,0
add color grading,0.6062174960084876,0
enhance details,0.791503526720866,1
make it more vibrant,0.8313785950912209,1
adjust brightness,0.8715047686306049,1
improve contrast,1.0,1
brighten the photo,0.3570890510693167,0
increase contrast,0.4535565640180599,0
add more saturation,0.47540017634932025,0
make colors warmer,0.4851391251305798,0
sharpen the image,0.4284730755359654,0
add vignette effect,0.5758969220493267,0
boost highlights,0.46271747854624284,0
deepen shadows,0.5563181393259992,0
adjust white balance,0.5714636452170896,0
increase exposure,0.6681874139386321,1
add color grading,0.9314658566673508,1
enhance details,0.5532734807408252,0
make it more vibrant,0.8486260190374514,1
adjust brightness,0.6587284128810349,1
improve contrast,0.8128068134210568,1
brighten the photo,0.4088950596967366,0
increase contrast,0.34642800190954626,0
add more saturation,0.2722255222070694,0
make colors warmer,0.34846962907400314,0
sharpen the image,0.5279597748934676,0
add vignette effect,0.42696333682828636,0
boost highlights,0.5616458589581975,0
deepen shadows,0.5845571839903815,0
adjust white balance,0.5548399652394183,0
increase exposure,0.8743944089325325,1
add color grading,0.7633919022318011,1
enhance details,0.5374857413342393,0
make it more vibrant,0.7986454314769428,1
adjust brightness,0.7538213535231613,1
improve contrast,0.9452433334796225,1
brighten the photo,0.22074792615672992,0
increase contrast,0.3285263558533101,0
add more saturation,0.4304987278980457,0
make colors warmer,0.5065755194170122,0
sharpen the image,0.3399703592944223,0
add vignette effect,0.4665498764159052,0
boost highlights,0.4925054688839044,0
deepen shadows,0.5146670767426289,0
adjust white balance,0.7965454240281097,1
increase exposure,0.7004981710960955,1
add color grading,0.5739116045664954,0
enhance details,0.8317861947054777,1
make it more vibrant,0.9922156197012634,1
adjust brightness,0.9232465260551148,1
improve contrast,0.7080630034045987,1
brighten the photo,0.25157659271337485,0
increase contrast,0.4666911149186622,0
add more saturation,0.3092330534381219,0
make colors warmer,0.46438194281462286,0
sharpen the image,0.5374634053429337,0
add vignette effect,0.4073069528421917,0
boost highlights,0.53404746439382,0
deepen shadows,0.2558732659930928,0
adjust white balance,0.517561235866571,0
increase exposure,0.6347431848606839,0
add color grading,0.575221681803515,0
enhance details,0.9032411303931636,1
make it more vibrant,0.6369858622039367,0
adjust brightness,0.7759955513303016,1
improve contrast,0.8730740577286092,1
brighten the photo,0.44412732890661155,0
increase contrast,0.19641378488205602,0
add more saturation,0.496316375215496,0
make colors warmer,0.4210233061019587,0
sharpen the image,0.36184913489520487,0
add vignette effect,0.5462103474263271,0
boost highlights,0.5599059695573471,0
deepen shadows,0.5199783122841206,0
adjust white balance,0.6269802084990019,0
increase exposure,0.6214686403138239,0
add color grading,0.7113517345251248,1
enhance details,0.8062130674521046,1
make it more vibrant,0.9386016816145353,1
adjust brightness,0.6962184501173152,1
improve contrast,1.0,1
brighten the photo,0.1047912200477498,0
increase contrast,0.32482149049644166,0
add more saturation,0.43883172064845766,0
make colors warmer,0.44809918677350324,0
sharpen the image,0.39773004801794054,0
add vignette effect,0.47918777496427245,0
boost highlights,0.4906999065341167,0
deepen shadows,0.5210635243055789,0
adjust white balance,0.7049602097021025,1
increase exposure,0.6957015485965047,1
add color grading,0.6307090404739345,0
enhance details,0.829959987543325,1
make it more vibrant,0.810729952087661,1
adjust brightness,0.901286211883896,1
improve contrast,0.9229628841923613,1
brighten the photo,0.21710049890779273,0
increase contrast,0.283981895980303,0
add more saturation,0.4547293605123262,0
make colors warmer,0.48103702654334646,0
sharpen the image,0.45790984060358514,0
add vignette effect,0.5117327383308782,0
boost highlights,0.6677664895788425,1
deepen shadows,0.5208428611164171,0
adjust white balance,0.6747097381170037,1
increase exposure,0.6397807347566106,0
add color grading,0.6782318796772779,1
enhance details,0.8498776851987191,1
make it more vibrant,0.862541634898803,1
adjust brightness,0.901350963600064,1
improve contrast,0.990547880715433,1
brighten the photo,0.3021003841632759,0
increase contrast,0.40819529712949637,0
add more saturation,0.3489733243406544,0
make colors warmer,0.4524166352488442,0
sharpen the image,0.4469856945632315,0
add vignette effect,0.5096995964992718,0
boost highlights,0.5995157025436914,0
deepen shadows,0.4981779316766528,0
adjust white balance,0.829238727568546,1
increase exposure,0.5593982618500297,0
add color grading,0.5785811387212267,0
enhance details,0.8558110873500068,1
make it more vibrant,0.8591662693962936,1
adjust brightness,0.8824119817052156,1
improve contrast,0.9228345509264281,1
brighten the photo,0.29877532271530854,0
increase contrast,0.2502745628514168,0
add more saturation,0.3875804558193726,0
make colors warmer,0.35228382884878884,0
sharpen the image,0.557511973341775,0
add vignette effect,0.48529426184978613,0
boost highlights,0.45745028032074886,0
deepen shadows,0.5478614158347007,0
adjust white balance,0.6612931454275625,1
increase exposure,0.6036275447196024,0
add color grading,0.6177779604433569,0
enhance details,0.7643687211491912,1
make it more vibrant,0.8044966571108723,1
adjust brightness,0.7693056824628871,1
improve contrast,0.8128961694381678,1
brighten the photo,0.3232049937357636,0
increase contrast,0.19519156585026756,0
add more saturation,0.23925362256234448,0
make colors warmer,0.3481555778747564,0
sharpen the image,0.4386552848288152,0
add vignette effect,0.5310907565598004,0
boost highlights,0.6875356216949553,1
deepen shadows,0.665765962320202,1
adjust white balance,0.6040061470036573,0
increase exposure,0.658098379209731,1
add color grading,0.5997470635362191,0
enhance details,0.738148686400761,1
make it more vibrant,0.7511341361079862,1
adjust brightness,0.8522718560338091,1
improve contrast,0.7772769056447678,1
brighten the photo,0.35193465142411723,0
increase contrast,0.4932738913002578,0
add more saturation,0.3691239851543142,0
make colors warmer,0.4601711722098941,0
sharpen the image,0.5290143991711113,0
add vignette effect,0.45987795281141636,0
boost highlights,0.5624092481810418,0
deepen shadows,0.5812592400781795,0
adjust white balance,0.6297676098548831,0
increase exposure,0.5826990216144533,0
add color grading,0.7024510174258942,1
enhance details,0.7897998291245449,1
make it more vibrant,0.9251143607795043,1
adjust brightness,0.9159270826085207,1
improve contrast,1.0,1
brighten the photo,0.22326524371119505,0
increase contrast,0.4272320636720678,0
add more saturation,0.3983342005738352,0
make colors warmer,0.6389802933217672,0
sharpen the image,0.37917017146448484,0
add vignette effect,0.4160278157819224,0
boost highlights,0.4800607354555978,0
deepen shadows,0.3676104275690194,0
adjust white balance,0.5674244978319238,0
increase exposure,0.5840867338446301,0
add color grading,0.7150393786476207,1
enhance details,0.7741755975777159,1
make it more vibrant,0.9676170839215886,1
adjust brightness,0.915042383818605,1
improve contrast,0.8023096344337598,1
brighten the photo,0.21015853286516417,0
increase contrast,0.38919191715065055,0
add more saturation,0.2479766792979358,0
make colors warmer,0.6031458765854354,0
sharpen the image,0.5779440120721286,0
add vignette effect,0.45308243478952953,0
boost highlights,0.3686865470909122,0
deepen shadows,0.7153872374165414,1
adjust white balance,0.6085460154747382,0
increase exposure,0.7837816311973461,1
add color grading,0.5405572341205632,0
enhance details,0.6800624977046227,1
make it more vibrant,0.7805243699718183,1
adjust brightness,0.8246980593764742,1
improve contrast,0.8149934528520757,1
brighten the photo,0.3622849932347499,0
increase contrast,0.23323795706174053,0
add more saturation,0.36576205149787067,0
make colors warmer,0.43202956317118985,0
sharpen the image,0.5114438834058749,0
add vignette effect,0.571161487808889,0
boost highlights,0.4275357908162131,0
deepen shadows,0.42658858292643786,0
adjust white balance,0.7477676821898509,1
increase exposure,0.6932314011979591,1
add color grading,0.6251513463443445,0
enhance details,0.8951151975522523,1
make it more vibrant,0.7915674634292859,1
adjust brightness,0.9379297184063827,1
improve contrast,0.866751848141011,1
brighten the photo,0.5060747924881988,0
increase contrast,0.5155340842443205,0
add more saturation,0.35510358515209267,0
make colors warmer,0.5171570950954355,0
sharpen the image,0.5245375949585147,0
add vignette effect,0.6368631557532349,0
boost highlights,0.4435076539419896,0
deepen shadows,0.648605145999844,0
adjust white balance,0.7258424486849588,1
increase exposure,0.4841260513576885,0
add color grading,0.5816741487334225,0
enhance details,0.5360767822239899,0
make it more vibrant,0.7530593165555443,1
adjust brightness,0.8917542255795963,1
improve contrast,1.0,1
brighten the photo,0.3074094780419775,0
increase contrast,0.5028615545571291,0
add more saturation,0.24198985417851085,0
make colors warmer,0.2496617560644845,0
sharpen the image,0.4544452301103381,0
add vignette effect,0.5384065448939307,0
boost highlights,0.5367305251905907,0
deepen shadows,0.3732557899960124,0
adjust white balance,0.6110879960487211,0
increase exposure,0.5295530499495146,0
add color grading,0.7669672548830038,1
enhance details,0.7766598246096849,1
make it more vibrant,0.6860120213672645,1
adjust brightness,0.7686133082663307,1
improve contrast,0.7540786478111049,1
brighten the photo,0.2937320902726828,0
increase contrast,0.4355142320501238,0
add more saturation,0.2814273953664456,0
make colors warmer,0.47040465155178446,0
sharpen the image,0.4069742381627559,0
add vignette effect,0.4207127167737656,0
boost highlights,0.5292969640045443,0
deepen shadows,0.47647576775806266,0
adjust white balance,0.5646350694652817,0
increase exposure,0.540212210741115,0
add color grading,0.8964725132916389,1
enhance details,0.7435263551971728,1
make it more vibrant,0.7100274492007415,1
adjust brightness,0.8413979910734223,1
improve contrast,0.8487671950309171,1
brighten the photo,0.2779030400466777,0
increase contrast,0.4014166700043425,0
add more saturation,0.4557507710047305,0
make colors warmer,0.3669498852389472,0
sharpen the image,0.402418175935532,0
add vignette effect,0.4724948302848356,0
boost highlights,0.3098078835264415,0
deepen shadows,0.42848089378014487,0
adjust white balance,0.7566874267444524,1
increase exposure,0.8244967713501283,1
add color grading,0.6750963960443621,1
enhance details,0.7976556963055766,1
make it more vibrant,0.8111250154543537,1
adjust brightness,1.0,1
improve contrast,0.9719574911434578,1
brighten the photo,0.2872082408519233,0
increase contrast,0.24444595593995738,0
add more saturation,0.21935536797424274,0
make colors warmer,0.4403463635867223,0
sharpen the image,0.38436492547156964,0
add vignette effect,0.3577746290402326,0
boost highlights,0.47534271157574737,0
deepen shadows,0.47184519963856053,0
adjust white balance,0.7887141635072565,1
increase exposure,0.748163975694945,1
add color grading,0.6992027358683383,1
enhance details,0.8879944138890026,1
make it more vibrant,0.7877368307647619,1
adjust brightness,0.7338715798671737,1
improve contrast,1.0,1
brighten the photo,0.3538910043684659,0
increase contrast,0.2362753845673543,0
add more saturation,0.3609661321916392,0
make colors warmer,0.33243817466152425,0
